"Timestamp","1. Gender","2. Age","3. Where do you live? (District)","4. What's your occupation?","5. What's your Education Level?","6. What's your Monthly income?","7. How did you get to know about mobile banking?","8. How long have you been using mobile banking for?","9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?","10. What types of accounts do you have?","11. What kind of operations are you doing using the mobile application?","12.	How often do you use the mobile application to do the above-mentioned tasks","13. How far is the bank branch where you do business (or live)?","14. Do you generally send, receive, or do both send and receive?","15. How do you agree with the following statements? [My mobile banking menu is very easy to navigate]","15. How do you agree with the following statements? [My mobile banking menu is very easy to understand]","15. How do you agree with the following statements? [It is easy to make a payment]","15. How do you agree with the following statements? [It is easy to make transfer money]","15. How do you agree with the following statements? [It is easy to make a balance inquiry]","15. How do you agree with the following statements? [Do you think that you will save time by using a mobile banking application?]","15. How do you agree with the following statements? [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?]","16. What type of features do you think that is relevant to a mobile banking application? [Speed/Performance]","16. What type of features do you think that is relevant to a mobile banking application? [Simplicity]","16. What type of features do you think that is relevant to a mobile banking application? [Security]","16. What type of features do you think that is relevant to a mobile banking application? [Customization]","16. What type of features do you think that is relevant to a mobile banking application? [Social Integration]","16. What type of features do you think that is relevant to a mobile banking application? [Feedback]","16. What type of features do you think that is relevant to a mobile banking application? [cross-platform]","16. What type of features do you think that is relevant to a mobile banking application? [Customer support]","16. What type of features do you think that is relevant to a mobile banking application? [Multiple languages]","16. What type of features do you think that is relevant to a mobile banking application? [More reporting tools (charts, tables, etc..)]","17. How satisfied were you with the current banking application?","18. Do you recommend other users to use mobile banking apps? ","19. What is the main advantage of using mobile banking applications?","20. What are the main drawbacks of using mobile banking applications?","21. How can the mobile banking apps could be improved to fit your needs well?","22. What are your other thoughts on mobile banking? (Not Mandatory)","23. How convenient is this questionnaire for you? (Not Mandatory)"
"2020/11/28 1:28:27 pm GMT+5:30","Male","19 - 30","Kurunegala","Private Sector Job","Degree or above","50,000 - 100,000","Self","One year to five years","Separate","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Daily – Several Times","more than 5Km","Send and receive","4","4","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Security issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 1:31:38 pm GMT+5:30","Male","19 - 30","Badulla","Private Sector Job","Degree or above","150,000 to 200,000","Advertisement","Less than a year","An addition","Savings Account","Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","4","4","5","5","2","Very relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Not relevant","Not relevant","Not relevant","Not relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Lightweight and speed;Better User Interface","","5"
"2020/11/28 1:39:03 pm GMT+5:30","Male","19 - 30","Gampaha","Government Job","Degree or above","Below 50,000","Self","5 years or more","Separate","Savings Account","Pay utility bills;International payments","Monthly – Several Times","more than 5Km","Send and receive","5","5","5","5","5","5","1","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Very relevant","Relevant","Not relevant","5","NO","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues","Keep it Simple;Lightweight and speed","","1"
"2020/11/28 1:39:25 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Degree or above","50,000 - 100,000","Self","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","5","5","5","Very relevant","Very relevant","Very relevant","No Idea","No Idea","Very relevant","No Idea","Very relevant","Relevant","No Idea","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","Com Bank digital ","5"
"2020/11/28 1:42:36 pm GMT+5:30","Female","19 - 30","Colombo","Government Job","Degree or above","50,000 - 100,000","Internet or Article","One year to five years","Separate","Savings Account;Credit card Account;Investment Account","Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","5","5","5","5","5","5","4","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","Very relevant","5","YES","Ease of access","Technology issues;Inconvenient to make deposits","Keep it Simple;Lightweight and speed","","4"
"2020/11/28 1:48:00 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Degree or above","200,000+","Internet or Article","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;International payments","Daily – Several Times","more than 5Km","Send and receive","3","2","4","3","5","5","5","Very relevant","Relevant","Very relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues;Inefficient at complex transactions","Lightweight and speed;Better User Interface","Need to reduce fees for essential services such as ATM withdrawal ","4"
"2020/11/28 1:48:53 pm GMT+5:30","Male","30 - 40","Kandy","Private Sector Job","Degree or above","Below 50,000","Friends","Less than a year","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","1Km to 5Km","Sender","1","2","2","2","2","1","1","Relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","2","YES","24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 1:50:12 pm GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","100,000 - 150,000","Friends","Less than a year","An addition","Savings Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","5","5","4","4","5","5","4","Very relevant","Very relevant","Very relevant","Not relevant","Relevant","Relevant","Very relevant","Relevant","Relevant","No Idea","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inefficient at complex transactions;Somewaht high service charges","Keep it Simple;Lightweight and speed;Better User Interface","","5"
"2020/11/28 1:50:45 pm GMT+5:30","Male","30 - 40","Kurunegala","Private Sector Job","Degree or above","200,000+","Self","5 years or more","Separate","Savings Account;Credit card Account;Checking Account;Money Market Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Investments;International payments;Pension fund management","Daily – Several Times","100m to 1Km","Send and receive","5","5","5","5","5","5","5","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Very relevant","Relevant","Very relevant","Not relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees;many other ","less number of participants and transaction fees","should bring down the transaction fees","Mobile banking is the future. fully intergrated facility should be developed where one can manage all the assets classes even crypto currencies. thats the way forwad. ","1"
"2020/11/28 1:53:04 pm GMT+5:30","Female","19 - 30","Kandy","Student","Degree or above","Below 50,000","Internet or Article","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Daily - Once","1Km to 5Km","Send and receive","5","5","5","5","5","4","4","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;No relationship with personal banker","Keep it Simple;Add more features","","4"
"2020/11/28 1:53:11 pm GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","150,000 to 200,000","Internet or Article","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;International payments","Weekly – Several Times","more than 5Km","Send and receive","4","4","5","5","5","Not Relevant","5","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 1:55:30 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Internet or Article","One year to five years","An addition","Savings Account","Pay utility bills;Open Fixed deposits;Investments","Weekly – Several Times","100m to 1Km","Sender","2","3","3","2","3","3","2","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","5","YES","Ease of access","Technology issues","Add more features","","5"
"2020/11/28 1:56:21 pm GMT+5:30","Female","30 - 40","Gampaha","Self-Employed","Degree or above","100,000 - 150,000","Bank","5 years or more","Separate","Savings Account","Checking bank balance","Weekly – Once","1Km to 5Km","Send and receive","2","2","2","2","2","1","3","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","24/7 account and service access","Security issues","Better User Interface","",""
"2020/11/28 1:56:59 pm GMT+5:30","Female","19 - 30","Kalutara","Private Sector Job","Degree or above","100,000 - 150,000","Self","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;Investments;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","2","2","2","2","2","1","3","Relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment","Technology issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;Better User Interface","","5"
"2020/11/28 1:57:37 pm GMT+5:30","Female","19 - 30","Kurunegala","Government Job","Degree or above","Below 50,000","Internet or Article","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","more than 5Km","Sender","5","4","4","4","4","Not Relevant","5","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","Very relevant","No Idea","Relevant","Relevant","Very relevant","4","YES","Ease of access;24/7 account and service access","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","5"
"2020/11/28 2:08:11 pm GMT+5:30","Male","19 - 30","Colombo","Student","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","more than 5Km","Send and receive","4","4","5","3","5","5","5","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 2:13:08 pm GMT+5:30","Female","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Open Fixed deposits","Weekly – Several Times","more than 5Km","Send and receive","3","3","4","4","4","5","2","Very relevant","Very relevant","Very relevant","Not relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","",""
"2020/11/28 2:13:29 pm GMT+5:30","Male","19 - 30","Kalutara","Self-Employed","Degree or above","50,000 - 100,000","Friends","5 years or more","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","1Km to 5Km","Send and receive","3","3","3","3","3","3","3","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","3","May be","24/7 account and service access","Technology issues","Keep it Simple;Add more features","","3"
"2020/11/28 2:21:08 pm GMT+5:30","Female","19 - 30","Gampaha","Private Sector Job","Degree or above","100,000 - 150,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance","Monthly – Several Times","1Km to 5Km","Send and receive","3","3","4","4","4","4","2","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","24/7 account and service access","Technology issues","Better User Interface","","3"
"2020/11/28 2:24:03 pm GMT+5:30","Female","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Advertisement","One year to five years","Separate","Savings Account","Transfer money to the other accounts;Pay utility bills","Rarely","more than 5Km","Send and receive","4","4","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 2:32:47 pm GMT+5:30","Female","19 - 30","Colombo","Student","A/L","Below 50,000","Advertisement","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","Interbank transaction fee should reduce","4"
"2020/11/28 2:35:42 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Self","One year to five years","Both","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Weekly – Several Times","more than 5Km","Send and receive","4","4","5","5","4","5","3","Relevant","Very relevant","Very relevant","Not relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;No relationship with personal banker","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","Future ","2"
"2020/11/28 2:46:58 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Internet or Article","Less than a year","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","3","3","3","3","3","Not Relevant","3","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","Relevant","Relevant","Very relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inefficient at complex transactions;No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","Most important thing is to have an interface with simplified terms. Avoiding bankinh specifiv jargons.","5"
"2020/11/28 2:56:59 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","50,000 - 100,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","1Km to 5Km","Sender","3","3","3","4","4","4","3","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","Relevant","Very relevant","4","YES","24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Add more features;More value added services","Good","4"
"2020/11/28 3:00:56 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","100m to 1Km","Send and receive","5","5","5","5","4","5","4","Relevant","Relevant","Very relevant","Very relevant","No Idea","Very relevant","Relevant","Very relevant","Relevant","Relevant","5","YES","Ease of access;24/7 account and service access","Security issues","More value added services;Better User Interface","","5"
"2020/11/28 3:04:02 pm GMT+5:30","Male","19 - 30","Kurunegala","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","3","3","3","3","3","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","Very relevant","3","YES","Ease of access;Online bill payment;Speed and efficiency","Technology issues","Add more features;Better User Interface","","4"
"2020/11/28 3:19:39 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Degree or above","150,000 to 200,000","Internet or Article","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Monthly – Several Times","1Km to 5Km","Send and receive","4","3","1","1","5","5","2","Very relevant","Relevant","Very relevant","Not relevant","Not relevant","Not relevant","Very relevant","Very relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","2"
"2020/11/28 3:54:14 pm GMT+5:30","Male","19 - 30","Kegalle","Private Sector Job","Degree or above","100,000 - 150,000","Internet or Article","One year to five years","An addition","Savings Account","Transfer money to the other accounts;Pay utility bills;International payments","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","5","5","5","5","3","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Lightweight and speed","","4"
"2020/11/28 4:20:09 pm GMT+5:30","Male","19 - 30","Kandy","Private Sector Job","Degree or above","50,000 - 100,000","Internet or Article","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","2","2","2","3","2","Not Relevant","Not Relevant","Relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","unreasonably higher fees","Keep it Simple;Lightweight and speed;Better User Interface","",""
"2020/11/28 4:20:43 pm GMT+5:30","Female","19 - 30","Matara","Private Sector Job","Degree or above","150,000 to 200,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","5","5","5","5","5","5","5","Very relevant","Relevant","Very relevant","Relevant","Relevant","Not relevant","Relevant","Very relevant","Not relevant","Not relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues","Keep it Simple;Lightweight and speed","",""
"2020/11/28 4:26:55 pm GMT+5:30","Male","19 - 30","Puttalam","Private Sector Job","Degree or above","100,000 - 150,000","Internet or Article","One year to five years","Separate","Savings Account;Credit card Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","3","3","3","4","3","Very relevant","Very relevant","Very relevant","Very relevant","No Idea","Relevant","Very relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Keep it Simple;Add more features;Better User Interface","","4"
"2020/11/28 4:59:55 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account;Credit card Account;Checking Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","100m to 1Km","Send and receive","4","4","4","4","5","5","4","Relevant","Relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;Add more features","","3"
"2020/11/28 5:09:14 pm GMT+5:30","Male","19 - 30","Gampaha","Government Job","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;Investments;International payments","Daily - Once","1Km to 5Km","Sender","1","1","2","1","1","1","2","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Security issues;Inefficient at complex transactions;No relationship with personal banker","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 5:25:41 pm GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","100,000 - 150,000","Advertisement","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","3","3","4","4","4","4","3","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 5:32:37 pm GMT+5:30","Female","30 - 40","Colombo","Government Job","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Sender","4","5","5","5","5","5","3","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 5:52:35 pm GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","50,000 - 100,000","Friends","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Monthly – Several Times","more than 5Km","Send and receive","4","4","3","3","3","4","3","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","3","May be","24/7 account and service access;Online bill payment","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","3"
"2020/11/28 7:01:26 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Self","Less than a year","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","2","2","3","3","4","Not Relevant","5","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 7:09:27 pm GMT+5:30","Female","30 - 40","Kalutara","Private Sector Job","Degree or above","100,000 - 150,000","Bank","5 years or more","An addition","Savings Account;Credit card Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","5","5","5","5","5","5","5","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Speed and efficiency","Technology issues;Security issues","Keep it Simple;Lightweight and speed","","3"
"2020/11/28 7:17:38 pm GMT+5:30","Female","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","Less than a year","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","3","4","4","4","5","5","3","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;Better User Interface","","5"
"2020/11/28 8:20:33 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Diploma","50,000 - 100,000","Friends","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Open Fixed deposits","Weekly – Several Times","more than 5Km","Send and receive","3","3","3","3","3","3","3","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Online bill payment","Security issues","Keep it Simple","Yes","5"
"2020/11/28 8:26:38 pm GMT+5:30","Male","19 - 30","Hambantota","Private Sector Job","Diploma","50,000 - 100,000","Advertisement","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Investments","Weekly – Several Times","more than 5Km","Send and receive","5","5","5","5","4","5","4","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","No Idea","No Idea","No Idea","Relevant","Not relevant","4","YES","Ease of access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;More value added services","Time saving,traveling cost saving","5"
"2020/11/28 8:44:13 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","200,000+","Bank","5 years or more","An addition","Savings Account;Credit card Account;Money Market Account","Checking bank balance;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","4","3","4","4","5","5","5","Relevant","Relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","3"
"2020/11/28 8:47:24 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Degree or above","50,000 - 100,000","Self","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","5","5","5","Very relevant","Very relevant","Very relevant","No Idea","No Idea","Very relevant","No Idea","Very relevant","Relevant","No Idea","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","Com Bank digital ","5"
"2020/11/28 9:06:21 pm GMT+5:30","Male","40 - 50","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","Separate","Savings Account;Credit card Account;Checking Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","more than 5Km","Send and receive","2","4","3","4","4","5","4","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","3","May be","Ease of access;24/7 account and service access","Inefficient at complex transactions","Keep it Simple","","4"
"2020/11/28 9:25:05 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","200,000+","Self","5 years or more","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","5","5","5","5","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Very relevant","Relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inconvenient to make deposits","Keep it Simple","","4"
"2020/11/28 9:27:16 pm GMT+5:30","Female","19 - 30","Gampaha","Private Sector Job","Degree or above","50,000 - 100,000","Friends","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","100m to 1Km","Send and receive","2","2","2","2","2","2","2","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","3","May be","Ease of access;Online bill payment","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","3"
